event,track,particle,d1,d2,d3
1697,1,primary_proton,1,1,1
1698,0,null,0,0,0
1699,0,null,0,0,0
1700,1,primary_proton,1,1,1
1701,1,primary_proton,1,1,1
1702,1,primary_proton,1,1,1
1703,0,null,0,0,0
1704,4,secondary_proton,1,0,0
1705,0,null,0,0,0
1706,0,null,0,0,0
1707,383,e-,1,0,0
1708,0,null,0,0,0
1709,0,null,0,0,0
1710,0,null,0,0,0
1711,0,null,0,0,0
1712,0,null,0,0,0
1713,1,primary_proton,1,1,1
1714,1,primary_proton,1,1,1
1715,1,primary_proton,1,1,1
1716,0,null,0,0,0
1717,0,null,0,0,0
1718,0,null,0,0,0
1719,0,null,0,0,0
1720,0,null,0,0,0
1721,1,primary_proton,1,1,1
1722,0,null,0,0,0
1723,0,null,0,0,0
1724,0,null,0,0,0
1725,0,null,0,0,0
1726,0,null,0,0,0
1727,1,primary_proton,1,1,1
1728,0,null,0,0,0
1729,1,primary_proton,1,1,1
1730,0,null,0,0,0
1731,0,null,0,0,0
1732,0,null,0,0,0
1733,0,null,0,0,0
1734,0,null,0,0,0
1735,0,null,0,0,0
1736,4,secondary_proton,1,1,0
1737,0,null,0,0,0
1738,0,null,0,0,0
1739,0,null,0,0,0
1740,0,null,0,0,0
1741,0,null,0,0,0
1742,12,pi+,1,1,1
1743,0,null,0,0,0
1744,0,null,0,0,0
1745,6,pi+,1,0,0
1746,0,null,0,0,0
1747,0,null,0,0,0
1748,1,primary_proton,1,1,1
1749,0,null,0,0,0
1750,0,null,0,0,0
1751,0,null,0,0,0
1752,1,primary_proton,1,1,1
1753,0,null,0,0,0
1754,0,null,0,0,0
1755,0,null,0,0,0
1756,11,secondary_proton,1,1,1
1757,0,null,0,0,0
1758,0,null,0,0,0
1759,1,primary_proton,1,1,1
1760,1,primary_proton,1,1,1
1761,0,null,0,0,0
1762,0,null,0,0,0
1763,345,secondary_proton,1,1,1
1765,491,e-,1,0,0
1766,0,null,0,0,0
1767,1,primary_proton,1,1,1
1768,64,pi-,1,1,1
1769,0,null,0,0,0
1770,0,null,0,0,0
1771,0,null,0,0,0
1772,0,null,0,0,0
1773,0,null,0,0,0
1774,0,null,0,0,0
1775,0,null,0,0,0
1776,0,null,0,0,0
1777,0,null,0,0,0
1778,1794,e-,1,1,0
1779,93,pi-,1,0,0
1780,0,null,0,0,0
1781,0,null,0,0,0
1782,0,null,0,0,0
1783,1,primary_proton,1,1,1
1784,0,null,0,0,0
1785,6,secondary_proton,1,0,0
1786,0,null,0,0,0
1787,2,secondary_proton,1,1,1
1788,1,primary_proton,1,1,1
1789,0,null,0,0,0
1790,1,primary_proton,1,1,1
1791,1,primary_proton,1,1,0
1792,0,null,0,0,0
1793,0,null,0,0,0
1794,9,secondary_proton,1,1,1
1795,7,secondary_proton,1,0,0
1796,0,null,0,0,0
1797,0,null,0,0,0
1798,0,null,0,0,0
1799,0,null,0,0,0
1800,0,null,0,0,0
1801,0,null,0,0,0
1802,1,primary_proton,1,1,1
1803,0,null,0,0,0
1804,0,null,0,0,0
1805,0,null,0,0,0
1806,0,null,0,0,0
1807,0,null,0,0,0
1808,0,null,0,0,0
1809,0,null,0,0,0
1810,0,null,0,0,0
1811,0,null,0,0,0
1812,0,null,0,0,0
1813,11,secondary_proton,1,1,0
1814,1,primary_proton,1,1,1
1815,0,null,0,0,0
1816,1,primary_proton,1,1,1
1817,0,null,0,0,0
1818,0,null,0,0,0
1819,0,null,0,0,0
1820,1,primary_proton,1,1,1
1821,0,null,0,0,0
1822,0,null,0,0,0
1823,0,null,0,0,0
1824,1,primary_proton,1,1,1
1825,13,secondary_proton,1,1,1
1826,0,null,0,0,0
1827,0,null,0,0,0
1828,0,null,0,0,0
1829,0,null,0,0,0
1830,0,null,0,0,0
1831,0,null,0,0,0
1832,0,null,0,0,0
1833,0,null,0,0,0
1834,4,secondary_proton,1,1,0
1835,80,e-,1,0,0
1836,0,null,0,0,0
1837,0,null,0,0,0
1838,0,null,0,0,0
1839,0,null,0,0,0
1840,0,null,0,0,0
1841,0,null,0,0,0
1842,0,null,0,0,0
1843,0,null,0,0,0
1844,0,null,0,0,0
1845,1,primary_proton,1,1,1
1846,0,null,0,0,0
1847,9,secondary_proton,1,1,1
1848,1,primary_proton,1,1,1
1849,0,null,0,0,0
