event,track,particle,d1,d2,d3
1549,0,null,0,0,0
1550,14,pi+,1,1,1
1551,11,pi+,1,1,0
1552,0,null,0,0,0
1553,17,pi-,1,0,0
1554,4,pi+,1,0,0
1555,425,pi+,1,1,1
1556,3,secondary_proton,1,1,1
1557,6,secondary_proton,1,1,1
1558,8916,e-,1,1,1
1559,16,secondary_proton,1,1,1
1560,1,primary_proton,1,1,1
1561,14,secondary_proton,1,1,1
1562,6,secondary_proton,1,1,1
1563,4412,secondary_proton,1,1,1
1564,1,primary_proton,1,1,1
1565,30,pi-,1,1,1
1566,6569,pi+,1,1,0
1567,7,pi-,1,1,1
1568,18,pi-,1,1,1
1569,1,primary_proton,1,1,1
1570,11640,secondary_proton,1,1,1
1571,19,pi-,1,1,0
1572,2763,secondary_proton,1,1,1
1573,36,pi+,1,1,1
1574,15,pi-,1,1,0
1575,13,secondary_proton,1,1,1
1576,1,primary_proton,1,1,1
1577,715,pi-,1,1,0
1578,12,pi+,1,1,1
1579,12,secondary_proton,1,1,1
1580,7,pi-,1,1,1
1581,5948,secondary_proton,1,1,1
1582,0,null,0,0,0
1583,4271,e+,1,1,0
1584,8,pi+,1,1,0
1585,0,null,0,0,0
1586,0,null,0,0,0
1587,19,secondary_proton,1,1,1
1588,1,primary_proton,1,1,1
1589,0,null,0,0,0
1590,3558,pi-,1,1,1
1591,1,primary_proton,1,1,1
1592,13,secondary_proton,1,1,1
1593,13,secondary_proton,1,1,1
1594,827,secondary_proton,1,1,0
1595,7,secondary_proton,1,1,1
1596,4,pi-,1,1,1
1597,857,pi+,1,0,0
1598,4265,secondary_proton,1,1,1
1599,16,pi-,1,1,1
1600,0,null,0,0,0
1601,1588,e-,1,0,0
1602,11,pi-,1,1,0
1603,191,secondary_proton,1,1,1
1604,0,null,0,0,0
1605,7,pi-,1,1,1
1606,15,secondary_proton,1,1,1
1607,15,pi+,1,1,0
1608,13,pi+,1,1,1
1609,7,pi-,1,1,0
1680,112,pi-,1,1,1
1681,16,secondary_proton,1,1,1
1682,4592,e-,1,0,0
1683,801,secondary_proton,1,0,0
1684,449,pi+,1,1,1
1685,1,primary_proton,1,1,1
1686,0,null,0,0,0
1687,23,pi-,1,1,1
1688,5,pi+,1,0,0
1689,347,secondary_proton,1,1,0
1690,21,secondary_proton,1,1,0
1691,10,pi-,1,1,1
1692,1500,e-,1,1,0
1693,0,null,0,0,0
1694,1,primary_proton,1,1,1
1695,30,pi-,1,0,0
1696,12,pi+,1,0,0
1697,5,secondary_proton,1,1,1
1698,10,pi-,1,1,0
1699,0,null,0,0,0
1700,7,secondary_proton,1,1,1
1701,1,primary_proton,1,1,1
1702,4,secondary_proton,1,1,1
1703,11,secondary_proton,1,1,1
1704,0,null,0,0,0
1705,1,primary_proton,1,1,1
1706,1,primary_proton,1,1,1
1707,1,primary_proton,1,1,1
1708,0,null,0,0,0
1709,20,pi+,1,1,1
1710,0,null,0,0,0
1711,16,pi-,1,1,1
1712,1,primary_proton,1,1,1
1713,0,null,0,0,0
1714,8393,pi-,1,1,0
1715,19,pi-,1,1,1
1716,1,primary_proton,1,1,1
1717,9,pi+,1,1,0
1718,20,pi-,1,1,1
1719,0,null,0,0,0
1720,13,secondary_proton,1,1,1
1721,0,null,0,0,0
1722,15,pi+,1,1,1
1723,6,pi+,1,1,1
1724,0,null,0,0,0
1725,18,pi-,1,1,1
1726,1,primary_proton,1,1,1
1727,4008,e-,0,1,0
1728,10080,secondary_proton,1,1,1
1729,24,pi+,1,1,1
1730,0,null,0,0,0
1731,8,pi+,1,1,1
1732,0,null,0,0,0
1733,0,null,0,0,0
1734,19,pi+,1,1,1
1735,0,null,0,0,0
1736,0,null,0,0,0
1737,4618,e-,1,1,1
1738,1,primary_proton,1,1,1
1739,286,secondary_proton,1,1,1
1740,11,pi+,1,1,1
1741,11373,pi-,1,0,0
1742,13,pi-,1,1,1
1743,1,primary_proton,1,1,1
1744,13,secondary_proton,1,1,1
1745,9640,e-,1,0,0
1746,0,null,0,0,0
1747,0,null,0,0,0
1748,0,null,0,0,0
1749,26,pi-,1,0,0
1820,0,null,0,0,0
1821,4,secondary_proton,1,1,1
1822,11,pi-,1,1,1
1823,13,pi+,1,1,1
1824,2544,e-,1,0,0
1825,7,secondary_proton,1,1,1
1826,13,pi-,1,1,1
1827,3778,e-,1,0,0
1828,1,primary_proton,1,1,1
1829,2,secondary_proton,1,1,1
1830,12,pi+,1,1,1
1831,11,secondary_proton,1,1,1
1832,0,null,0,0,0
1833,4,secondary_proton,1,1,0
1834,0,null,0,0,0
1835,748,pi+,1,0,0
1836,1,primary_proton,1,1,1
1837,7,pi+,1,1,1
1838,0,null,0,0,0
1839,713,pi-,1,0,0
1840,16,pi-,1,1,0
1841,7,secondary_proton,1,1,1
1842,14,secondan,1,1,1
1520,1,primary_proton,1,1,1
1521,0,null,0,0,0
1522,8,pi-,1,0,0
1523,7,pi-,1,0,0
1524,0,null,0,0,0
1525,12,pi+,1,1,1
1526,1,primary_proton,1,1,1
1527,0,null,0,0,0
1528,232,pi+,1,1,1
1529,0,null,0,0,0
1530,15,pi-,1,1,0
1531,1,primary_proton,1,1,1
1532,1,primary_proton,1,1,1
1533,0,null,0,0,0
1534,8,secondary_proton,1,1,1
1535,14699,pi+,1,0,0
1536,10,pi-,1,1,1
1537,25,pi+,1,1,1
1538,0,null,0,0,0
1539,1,primary_proton,1,1,1
1610,4933,secondary_proton,1,0,0
1611,13,pi+,1,1,1
1612,112,pi+,1,1,1
1613,4,secondary_proton,1,1,1
1614,6448,e-,1,1,1
1615,3187,e-,1,1,1
1616,1,primary_proton,1,1,1
1617,1,primary_proton,1,1,1
1618,9,secondary_proton,1,1,1
1619,1,primary_proton,1,1,1
1620,1,primary_proton,1,1,1
1621,1,primary_proton,1,1,1
1622,0,null,0,0,0
1623,15,pi-,1,1,1
1624,0,null,0,0,0
1625,0,null,0,0,0
1626,8,secondary_proton,1,1,1
1627,30,secondary_proton,1,1,1
1628,0,null,0,0,0
1629,7,pi-,1,1,1
1630,15,pi+,1,1,1
1631,0,null,0,0,0
1632,1218,e-,1,1,1
1633,0,null,0,0,0
1634,12,pi-,1,1,1
1635,119,pi-,1,1,1
1636,6572,e-,1,0,0
1637,0,null,0,0,0
1638,20,pi+,1,1,1
1639,3510,secondary_proton,1,1,1
1640,9,pi-,1,1,1
1641,15,pi+,1,1,1
1642,514,e-,1,1,1
1643,1,primary_proton,1,1,1
1644,0,null,0,0,0
1645,110,secondary_proton,1,1,1
1646,8,pi-,1,1,1
1647,9268,secondary_proton,1,1,1
1648,1,primary_proton,1,1,1
1649,1,primary_proton,1,1,1
1650,13,secondary_proton,1,1,1
1651,16,secondary_proton,1,1,1
1652,6,pi-,1,1,1
1653,5413,e-,1,0,0
1654,21,pi+,1,1,1
1655,983,secondary_proton,1,1,1
