event,track,particle,tungsten_entry,tungsten_exit,sc1_entry,sc1_exit,sc2_entry,sc2_exit,sc3_entry,sc3_exit
167,1,proton,1,1,1,1,1,1,1,1
167,3,e-,0,0,0,0,0,1,1,1
167,4,gamma,0,0,0,0,0,0,0,1
168,1,proton,1,1,1,1,1,1,1,1
168,4,e-,0,0,0,0,0,0,0,1
169,1,proton,1,1,1,1,1,1,1,1
169,4,e-,0,0,1,0,0,0,0,0
170,1,proton,1,1,1,1,1,1,1,1
171,1,proton,1,1,1,1,1,1,1,1
172,1,proton,1,1,1,1,1,1,1,1
173,1,proton,1,1,1,1,1,1,1,1
174,1,proton,1,1,1,1,1,1,1,1
174,2,e-,0,0,0,1,0,0,0,0
175,1,proton,1,1,1,1,1,1,1,1
176,1,pG4WT0 > roton,1,1,1,1,1,1,1,1
177,1,proton,1,1,1,1,1,1,1,1
178,1,proton,1,1,1,1,1,1,1,1
179,1,proton,1,1,1,1,1,1,1,1
180,1,proton,1,1,1,1,1,1,1,1
180,4,e-,0,0,0,0,0,1,1,0
181,1,proton,1,1,1,1,1,1,1,0
182,1,proton,1,1,1,1,1,1,1,1
183,1,proton,1,1,1,1,1,1,1,1
183,6,e-,0,0,0,1,1,0,0,0
184,1,proton,1,1,1,1,1,1,1,0
185,1,proton,1,1,1,1,1,1,1,1
185,6,e-,0,0,0,0,0,0,0,1
186,1,proton,1,1,1,1,1,1,1,1
187,1,proton,1,1,1,1,1,1,1,1
188,1,proton,1,1,1,1,1,1,1,1
189,1,proton,1,1,1,1,1,1,1,1
190,1,proton,1,1,1,1,1,1,1,1
191,1,proton,1,1,1,1,1,1,1,1
192,1,proton,1,1,1,1,1,1,1,1
193,1,proton,1,1,1,1,1,1,1,0
193,6,e-,0,0,0,1,1,0,0,0
193,8,e-,0,0,0,0,0,1,1,0
194,1,proton,1,1,1,1,1,1,1,1
195,1,proton,1,1,1,1,1,1,1,1
195,4,e-,0,0,0,0,0,0,0,1
195,5,e-,0,0,0,0,0,0,0,1
